City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mudurnu,40.473,31.2076,8.78,73,0,2.44,TR,1730221452
1,st. john's,47.5649,-52.7093,4.05,90,75,4.47,CA,1730221223
2,enewetak,11.3474,162.3373,28.6,77,78,4.64,MH,1730221454
3,sandnessjoen,66.0217,12.6316,7.06,81,75,9.77,NO,1730221455
4,puerto armuelles,8.2833,-82.8667,25.05,90,96,0.45,PA,1730221456
5,west island,-12.1568,96.8225,25.99,89,40,6.69,CC,1730221457
6,adamstown,-25.066,-130.1015,20.58,74,6,2.59,PN,1730221458
7,stantsiya novyy afon,43.0806,40.8383,11.75,77,51,1.91,GE,1730221460
8,kone,-21.0595,164.8658,20.06,93,32,1.76,NC,1730221461
9,qui nhon,13.7667,109.2333,23.79,84,56,2.76,VN,1730221462
10,wailua homesteads,22.0669,-159.378,22.85,92,100,5.14,US,1730221463
11,taoudenni,22.6783,-3.9836,32.28,18,66,0.91,ML,1730221465
12,novyy urgal,51.0736,132.5642,-1.27,82,98,0.83,RU,1730221466
13,grytviken,-54.2811,-36.5092,1.56,76,96,3.07,GS,1730221467
14,port-aux-francais,-49.35,70.2167,1.17,67,97,9.03,TF,1730221468
15,pointe-noire,-4.7761,11.8635,25.71,82,100,3.77,CG,1730221469
16,keflavik,64.0049,-22.5624,5.24,81,75,11.32,IS,1730221470
17,port mathurin,-19.6833,63.4167,23.71,77,2,3.36,MU,1730221471
18,bilibino,68.0546,166.4372,-23.94,99,27,1.97,RU,1730221472
19,hithadhoo,-0.6,73.0833,28.3,72,85,4.71,MV,1730221473
20,waitangi,-43.9535,-176.5597,11.57,96,100,1.79,NZ,1730221474
21,bethel,41.3712,-73.414,12.49,72,100,3.09,US,1730221475
22,papatowai,-46.5619,169.4708,6.0,84,55,3.65,NZ,1730221476
23,pisco,-13.7,-76.2167,21.03,73,4,3.6,PE,1730221447
24,jamestown,42.097,-79.2353,16.12,75,100,5.14,US,1730221193
25,kalemie,-5.9475,29.1947,24.63,78,17,0.44,CD,1730221481
26,puerto natales,-51.7236,-72.4875,7.25,87,100,2.57,CL,1730221267
27,wuyishan,28.0047,117.8114,14.51,83,100,0.17,CN,1730221483
28,cockburn town,21.4612,-71.1419,28.17,74,100,8.6,TC,1730221484
29,kourou,5.1552,-52.6478,31.46,51,85,4.43,GF,1730221485
30,atafu village,-8.5421,-172.5159,28.09,76,14,3.56,TK,1730221487
31,hamilton,39.1834,-84.5333,22.94,66,100,2.68,US,1730221241
32,maardu,59.4767,25.025,4.78,74,0,3.6,EE,1730221490
33,avarua,-21.2078,-159.775,22.03,78,20,4.63,CK,1730221334
34,port elizabeth,-33.918,25.5701,16.29,95,20,11.83,ZA,1730221492
35,portland,45.5234,-122.6762,8.09,96,75,2.06,US,1730220980
36,bredasdorp,-34.5322,20.0403,16.16,75,24,3.38,ZA,1730221494
37,ballina,-28.8667,153.5667,18.16,81,87,2.14,AU,1730221241
38,cullman,34.1748,-86.8436,20.36,77,75,2.57,US,1730221496
39,caala,-12.8525,15.5606,24.74,55,89,1.62,AO,1730221455
40,puerto ayora,-0.7393,-90.3518,21.67,75,62,5.39,EC,1730221498
41,saipan,15.1355,145.701,28.39,89,75,5.14,MP,1730221499
42,lompoc,34.6391,-120.4579,13.84,69,0,7.2,US,1730221500
43,geraldton,-28.7667,114.6,19.23,88,0,6.17,AU,1730221501
44,fort saskatchewan,53.7168,-113.2187,0.58,80,27,1.54,CA,1730221502
45,rio grande,-32.035,-52.0986,22.25,67,77,4.98,BR,1730221503
46,yellowknife,62.456,-114.3525,-9.23,99,75,5.14,CA,1730221505
47,shumerlya,55.5005,46.4129,5.58,98,100,1.79,RU,1730221506
48,ushuaia,-54.8,-68.3,8.81,61,75,10.8,AR,1730221417
49,louis trichardt,-23.0439,29.9032,25.0,15,12,2.79,ZA,1730221508
50,titao,13.7667,-2.0667,33.44,15,98,4.41,BF,1730221509
51,leava,-14.3,-178.1667,26.77,78,82,5.11,WF,1730221510
52,coahuayana de hidalgo,18.7,-103.6583,31.84,56,0,1.21,MX,1730221511
53,fale old settlement,-9.3852,-171.2468,28.09,75,17,3.94,TK,1730221512
54,bozkurt,41.9577,34.0109,12.49,87,5,1.96,TR,1730221513
